# en-US British -> American spelling corpus. GENERATED -- do not edit by hand.
# Regenerate: ./.venv/bin/python bin/gen_british_spellings.py
# Source: VarCon (SCOWL) -- https://github.com/en-wl/wordlist (public domain).
#   Vendored copy + license: config/en-US/varcon.txt
# Filter: British-only forms (no American tag in the headword), SCOWL level <= 60.
# House-style adds/exclusions: config/en-US/british-american.overrides.txt
# Format: <british><TAB><american>, one pair per line, sorted.

centrepiece	centerpiece
centrepieces	centerpieces
centres	centers
centring	centering
centrings	centerings
channelisation	channelization
channelisations	channelizations
channelise	channelize
channelised	channelized
channelises	channelizes
channelising	channelizing
channelled	channeled
channelling	channeling
characterisation	characterization
characterisations	characterizations
characterise	characterize
characterised	characterized
characterises	characterizes
characterising	characterizing
cheque	check
chequebook	checkbook
chequebooks	checkbooks
chequer	checker
chequerboard	checkerboard
chequerboards	checkerboards
chequered	checkered
chequering	checkering
chequers	checkers
cheques	checks
christianise	christianize
christianised	christianized
christianises	christianizes
christianising	christianizing
circularise	circularize
circularised	circularized
circularises	circularizes
circularising	circularizing
civilisation	civilization
civilisations	civilizations
civilise	civilize
civilised	civilized
civilises	civilizes
civilising	civilizing
clamour	clamor
clamoured	clamored
clamouring	clamoring
clamours	clamors
clangour	clangor
clangoured	clangored
clangouring	clangoring
clangours	clangors
coenobite	cenobite
coenobites	cenobites
coenobitic	cenobitic
cognisable	cognizable
cognisabler	cognizabler
cognisablest	cognizablest
cognisance	cognizance
cognisances	cognizances
cognisant	cognizant
cognisanter	cognizanter
cognisantest	cognizantest
collateralise	collateralize
collectivisation	collectivization
collectivisations	collectivizations
collectivise	collectivize
collectivised	collectivized
collectivises	collectivizes
collectivising	collectivizing
colonisation	colonization
colonisations	colonizations
colonise	colonize
colonised	colonized
coloniser	colonizer
colonisers	colonizers
colonises	colonizes
colonising	colonizing
colour	color
colourant	colorant
colourants	colorants
colouration	coloration
colourations	colorations
colourblind	colorblind
colourblindness	colorblindness
colourblindnesses	colorblindnesses
coloured	colored
coloureds	coloreds
colourer	colorer
colourers	colorers
colourest	colorrest
colourfast	colorfast
colourfastness	colorfastness
colourfastnesses	colorfastnesses
colourful	colorful
colourfuler	colorfuler
colourfulest	colorfulest
colourfullier	colorfullier
colourfulliest	colorfulliest
colourfully	colorfully
colourfulness	colorfulness
colourfulnesses	colorfulnesses
colouring	coloring
colourings	colorings
colourisation	colorization
colourisations	colorizations
colourise	colorize
colourised	colorized
colourises	colorizes
colourising	colorizing
colourist	colorist
colourists	colorists
colourless	colorless
colourlesser	colorlesser
colourlessest	colorlessest
colourlesslier	colorlesslier
colourlessliest	colorlessliest
colourlessly	colorlessly
colourlessness	colorlessness
colourlessnesses	colorlessnesses
colours	colors
colourway	colorway
colourways	colorways
commercialisation	commercialization
commercialisations	commercializations
commercialise	commercialize
commercialised	commercialized
commercialises	commercializes
commercialising	commercializing
compartmentalisation	compartmentalization
compartmentalisations	compartmentalizations
compartmentalise	compartmentalize
compartmentalised	compartmentalized
compartmentalises	compartmentalizes
compartmentalising	compartmentalizing
computerisation	computerization
computerisations	computerizations
computerise	computerize
computerised	computerized
computerises	computerizes
computerising	computerizing
conceptualisation	conceptualization
conceptualisations	conceptualizations
conceptualise	conceptualize
conceptualised	conceptualized
conceptualises	conceptualizes
conceptualising	conceptualizing
concertise	concertize
concertised	concertized
concertises	concertizes
concertising	concertizing
connexion	connection
connexions	connections
containerisation	containerization
containerisations	containerizations
containerise	containerize
containerised	containerized
containerises	containerizes
containerising	containerizing
contextualisation	contextualization
contextualisations	contextualizations
contextualise	contextualize
contextualised	contextualized
contextualises	contextualizes
contextualising	contextualizing
conventionalise	conventionalize
conventionalised	conventionalized
conventionalises	conventionalizes
conventionalising	conventionalizing
cosied	cozied
cosier	cozier
cosies	cozies
cosiest	coziest
cosily	cozily
cosiness	coziness
costumire	costumier
cosy	cozy
cosying	cozying
councillor	councilor
councillors	councilors
counselled	counseled
counselling	counseling
counsellor	counselor
counsellors	counselors
crenellate	crenelate
crenellated	crenelated
crenellater	crenelater
crenellates	crenelates
crenellatest	crenelatest
crenellating	crenelating
crenellation	crenelation
crenellations	crenelations
criminalise	criminalize
criminalised	criminalized
criminalises	criminalizes
criminalising	criminalizing
criticise	criticize
criticised	criticized
criticiser	criticizer
criticisers	criticizers
criticises	criticizes
criticising	criticizing
crueller	crueler
cruellest	cruelest
crystallisation	crystallization
crystallisations	crystallizations
crystallise	crystallize
crystallised	crystallized
crystallises	crystallizes
crystallising	crystallizing
cudgelled	cudgeled
cudgelling	cudgeling
cudgellings	cudgelings
customisation	customization
customisations	customizations
customise	customize
customised	customized
customises	customizes
customising	customizing
cypher	cipher
cyphered	ciphered
cyphering	ciphering
cyphers	ciphers
decentralisation	decentralization
decentralisations	decentralizations
decentralise	decentralize
decentralised	decentralized
decentralises	decentralizes
decentralising	decentralizing
decilitre	deciliter
decilitres	deciliters
decimalisation	decimalization
decimalisations	decimalizations
decimetre	decimeter
decimetres	decimeters
decolonisation	decolonization
decolonisations	decolonizations
decolonise	decolonize
decolonised	decolonized
decolonises	decolonizes
decolonising	decolonizing
decriminalisation	decriminalization
decriminalisations	decriminalizations
decriminalise	decriminalize
decriminalised	decriminalized
decriminalises	decriminalizes
decriminalising	decriminalizing
defence	defense
defenced	defensed
defenceless	defenseless
defencelesser	defenselesser
defencelessest	defenselessest
defencelesslier	defenselesslier
defencelessliest	defenselessliest
defencelessly	defenselessly
defencelessness	defenselessness
defencelessnesses	defenselessnesses
defences	defenses
defencing	defensing
dehumanisation	dehumanization
dehumanisations	dehumanizations
dehumanise	dehumanize
dehumanised	dehumanized
dehumanises	dehumanizes
dehumanising	dehumanizing
demagnetisation	demagnetization
demagnetisations	demagnetizations
demagnetise	demagnetize
demagnetised	demagnetized
demagnetises	demagnetizes
demagnetising	demagnetizing
demeanour	demeanor
demeanours	demeanors
demilitarisation	demilitarization
demilitarisations	demilitarizations
demilitarise	demilitarize
demilitarised	demilitarized
demilitarises	demilitarizes
demilitarising	demilitarizing
demobilisation	demobilization
demobilisations	demobilizations
demobilise	demobilize
demobilised	demobilized
demobilises	demobilizes
demobilising	demobilizing
democratisation	democratization
democratisations	democratizations
democratise	democratize
democratised	democratized
democratises	democratizes
democratising	democratizing
demonetisation	demonetization
demonetisations	demonetizations
demonetise	demonetize
demonetised	demonetized
demonetises	demonetizes
demonetising	demonetizing
demonise	demonize
demonised	demonized
demonises	demonizes
demonising	demonizing
demoralisation	demoralization
demoralisations	demoralizations
demoralise	demoralize
demoralised	demoralized
demoralises	demoralizes
demoralising	demoralizing
denationalisation	denationalization
denationalisations	denationalizations
denationalise	denationalize
denationalised	denationalized
denationalises	denationalizes
denationalising	denationalizing
denuclearise	denuclearize
denuclearised	denuclearized
denuclearises	denuclearizes
denuclearising	denuclearizing
deodorisation	deodorization
deodorisations	deodorizations
deodorise	deodorize
deodorised	deodorized
deodoriser	deodorizer
deodorisers	deodorizers
deodorises	deodorizes
deodorising	deodorizing
departmentalisation	departmentalization
departmentalisations	departmentalizations
departmentalise	departmentalize
departmentalised	departmentalized
departmentalises	departmentalizes
departmentalising	departmentalizing
dependant	dependent
dependants	dependents
depersonalise	depersonalize
depersonalised	depersonalized
depersonalises	depersonalizes
depersonalising	depersonalizing
depolarisation	depolarization
depolarisations	depolarizations
depolarise	depolarize
depolarised	depolarized
depolarises	depolarizes
depolarising	depolarizing
depoliticise	depoliticize
depoliticised	depoliticized
depoliticises	depoliticizes
depoliticising	depoliticizing
depressurisation	depressurization
depressurisations	depressurizations
depressurise	depressurize
depressurised	depressurized
depressurises	depressurizes
depressurising	depressurizing
deputise	deputize
deputised	deputized
deputises	deputizes
deputising	deputizing
desalinisation	desalinization
desalinisations	desalinizations
desalinise	desalinize
desalinised	desalinized
desalinises	desalinizes
desalinising	desalinizing
desensitisation	desensitization
desensitisations	desensitizations
desensitise	desensitize
desensitised	desensitized
desensitises	desensitizes
desensitising	desensitizing
destabilisation	destabilization
destabilise	destabilize
destabilised	destabilized
destabilises	destabilizes
destabilising	destabilizing
devilled	deviled
devilling	deviling
devitalise	devitalize
devitalised	devitalized
devitalises	devitalizes
devitalising	devitalizing
dialled	dialed
dialling	dialing
diallings	dialings
dialyse	dialyze
dialysed	dialyzed
dialysing	dialyzing
diarrhoea	diarrhea
diarrhoeas	diarrheas
digitisation	digitization
digitisations	digitizations
digitise	digitize
digitised	digitized
digitises	digitizes
digitising	digitizing
discolour	discolor
